Shoulder,Elbow
-92.04545454545455,91.2251655629139
-88.63636363636364,110.43046357615894
-41.81818181818182,27.367549668874172
-72.72727272727272,83.54304635761589
-83.4090909090909,116.19205298013244
-56.36363636363637,72.01986754966887
-52.04545454545455,67.45860927152317
-81.13636363636364,117.1523178807947
-53.63636363636363,67.21854304635761
-54.77272727272727,72.01986754966887
-81.13636363636364,117.39238410596026
-53.63636363636363,116.67218543046357
-19.545454545454547,37.21026490066225
-44.54545454545455,92.18543046357615
-41.13636363636363,111.87086092715232
-24.090909090909093,68.17880794701986
-20.227272727272734,54.25496688741722
-37.5,109.23013245033113
-67.72727272727272,119.0728476821192
-89.54545454545455,100.82781456953643
-90.22727272727273,91.2251655629139
-89.0909090909091,108.50993377483444
-71.36363636363636,119.31291390728477
-37.27272727272727,109.95033112582782
-76.5909090909091,120.75331125827815
-81.36363636363636,99.86754966887418
-66.13636363636364,103.46854304635761
-34.54545454545455,93.62582781456953
-62.27272727272727,105.14900662251655
-78.4090909090909,94.34602649006622
-63.18181818181819,81.86258278145695
-31.363636363636367,77.0612582781457
-47.5,85.70364238410596
-66.81818181818181,77.54139072847683
-55.68181818181818,58.09602649006622
-28.863636363636367,59.056291390728475
-32.95454545454545,63.61754966887417
-52.95454545454545,55.6953642384106
-34.77272727272727,22.08609271523179
-18.181818181818187,31.20860927152318
-13.181818181818187,31.20860927152318
-32.5,26.647350993377483
-50.0,41.29139072847682
-91.13636363636364,90.0248344370861
