Shoulder,Elbow
-92.04545454545455,149.08112582781456
-92.27272727272727,149.32119205298014
-91.81818181818181,149.5612582781457
-92.04545454545455,149.5612582781457
-92.04545454545455,149.32119205298014
-92.04545454545455,149.32119205298014
-91.5909090909091,149.32119205298014
-92.04545454545455,149.32119205298014
-92.27272727272727,149.5612582781457
-92.27272727272727,149.08112582781456
-91.81818181818181,149.32119205298014
-92.04545454545455,149.08112582781456
-92.27272727272727,149.32119205298014
-92.27272727272727,149.32119205298014
-91.81818181818181,149.32119205298014
-91.81818181818181,149.32119205298014
-92.04545454545455,149.08112582781456
-91.81818181818181,149.5612582781457
-91.81818181818181,149.32119205298014
-92.04545454545455,149.32119205298014
-92.5,149.32119205298014
-91.81818181818181,149.32119205298014
-92.27272727272727,149.32119205298014
-92.27272727272727,149.08112582781456
-92.04545454545455,149.08112582781456
-91.81818181818181,149.32119205298014
-92.27272727272727,149.08112582781456
-92.04545454545455,149.08112582781456
-91.5909090909091,149.5612582781457
-92.04545454545455,149.32119205298014
-92.5,149.32119205298014
-92.5,149.5612582781457
-92.27272727272727,149.80132450331126
-92.04545454545455,149.5612582781457
-92.04545454545455,149.5612582781457
-92.04545454545455,149.32119205298014
-92.04545454545455,149.08112582781456
-92.04545454545455,149.08112582781456
-91.5909090909091,149.5612582781457
-91.81818181818181,149.5612582781457
-92.27272727272727,149.08112582781456
-91.5909090909091,149.5612582781457
-92.04545454545455,149.5612582781457
-91.81818181818181,149.08112582781456
-91.81818181818181,149.32119205298014
-92.27272727272727,149.32119205298014
-92.27272727272727,149.32119205298014
-92.04545454545455,149.32119205298014
-92.5,149.08112582781456
-91.81818181818181,149.08112582781456
-92.04545454545455,149.32119205298014
-92.04545454545455,149.08112582781456
-92.04545454545455,149.32119205298014
-92.5,149.32119205298014
-91.81818181818181,149.32119205298014
-92.5,149.32119205298014
-92.27272727272727,149.32119205298014
-92.04545454545455,149.32119205298014
-92.27272727272727,149.5612582781457
-92.5,149.32119205298014
-92.04545454545455,149.32119205298014
-91.81818181818181,149.08112582781456
-92.04545454545455,149.5612582781457
-92.04545454545455,149.08112582781456
-92.04545454545455,149.32119205298014
-92.27272727272727,149.08112582781456
-92.04545454545455,149.32119205298014
-92.04545454545455,149.32119205298014
-92.04545454545455,149.5612582781457
-92.04545454545455,149.32119205298014
-92.04545454545455,149.32119205298014
-92.04545454545455,150.0413907284768
-91.81818181818181,149.08112582781456
-92.04545454545455,149.32119205298014
-92.04545454545455,149.08112582781456
-91.81818181818181,149.32119205298014
-92.04545454545455,149.5612582781457
-92.5,149.08112582781456
-92.04545454545455,149.32119205298014
-92.04545454545455,149.32119205298014
-92.04545454545455,149.08112582781456
-92.27272727272727,149.08112582781456
-91.81818181818181,149.32119205298014
-92.04545454545455,149.08112582781456
-92.04545454545455,149.08112582781456
-92.04545454545455,149.32119205298014
-91.81818181818181,149.32119205298014
-91.81818181818181,149.5612582781457
-92.04545454545455,149.08112582781456
-92.27272727272727,148.841059602649
-92.04545454545455,149.5612582781457
-92.04545454545455,149.08112582781456
-91.81818181818181,149.32119205298014
-92.27272727272727,149.08112582781456
-92.04545454545455,149.08112582781456
-92.04545454545455,149.5612582781457
-92.04545454545455,149.32119205298014
-92.27272727272727,149.5612582781457
-91.81818181818181,149.32119205298014
-92.04545454545455,149.32119205298014
-92.04545454545455,149.32119205298014
-92.27272727272727,149.32119205298014
-92.27272727272727,149.5612582781457
-92.27272727272727,149.32119205298014
