shoulder,elbow
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,123.8091822
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,123.8091822
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,123.8091822
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,123.8091822
-71.14058355,123.8091822
-71.14058355,124.045911
-71.14058355,123.8091822
-71.14058355,124.045911
-71.14058355,124.045911
-71.14058355,123.8091822
-71.14058355,123.8091822
-71.14058355,123.8091822
-71.14058355,123.8091822
-71.14058355,123.8091822
-71.14058355,123.8091822
-71.14058355,123.8091822
-71.14058355,123.8091822
-71.14058355,123.8091822
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.5724534
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.3357245
-71.14058355,123.0989957
-71.14058355,123.3357245
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-70.90185676,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,123.0989957
-71.14058355,122.8622669
-71.14058355,122.8622669
-71.14058355,123.0989957
-71.14058355,122.8622669
-71.14058355,122.8622669
-71.14058355,122.8622669
-71.14058355,122.8622669
-71.14058355,122.8622669
-70.90185676,122.8622669
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.625538
-70.90185676,122.3888092
-70.90185676,122.625538
-70.90185676,122.3888092
-70.90185676,122.3888092
-70.90185676,122.3888092
-70.90185676,122.3888092
-70.90185676,122.3888092
-70.90185676,122.3888092
-70.90185676,122.3888092
-70.90185676,122.3888092
-70.90185676,122.3888092
-70.90185676,122.3888092
-70.90185676,122.1520803
-70.90185676,122.1520803
-70.90185676,122.3888092
-70.90185676,122.1520803
-70.66312997,122.1520803
-70.66312997,122.1520803
-70.66312997,121.9153515
-70.66312997,121.9153515
-70.66312997,121.9153515
-70.66312997,121.9153515
-70.66312997,121.9153515
-70.66312997,121.9153515
-70.42440318,121.9153515
-70.42440318,121.6786227
-70.42440318,121.6786227
-70.42440318,121.6786227
-70.42440318,121.6786227
-70.42440318,121.6786227
-70.42440318,121.6786227
-70.18567639,121.6786227
-70.42440318,121.4418938
-70.42440318,121.4418938
-70.18567639,121.4418938
-70.18567639,121.4418938
-70.18567639,121.205165
-70.18567639,121.205165
-70.18567639,121.205165
-70.18567639,121.205165
-70.18567639,120.9684362
-69.9469496,120.9684362
-69.9469496,120.9684362
-69.9469496,120.9684362
-69.9469496,120.7317073
-69.9469496,120.7317073
-69.9469496,120.7317073
-69.70822281,120.4949785
-69.70822281,120.4949785
-69.70822281,120.4949785
-69.70822281,120.4949785
-69.70822281,120.2582496
-69.46949602,120.2582496
-69.46949602,120.0215208
-69.46949602,120.0215208
-69.46949602,119.784792
-69.46949602,119.784792
-69.46949602,119.784792
-69.46949602,119.5480631
-69.46949602,119.5480631
-69.23076923,119.3113343
-69.23076923,119.3113343
-69.23076923,119.3113343
-69.23076923,119.0746055
-69.23076923,119.0746055
-68.99204244,118.8378766
-68.99204244,118.8378766
-68.99204244,118.6011478
-68.99204244,118.6011478
-68.99204244,118.6011478
-68.99204244,118.6011478
-68.75331565,118.3644189
-68.75331565,118.3644189
-68.75331565,118.3644189
-68.75331565,118.1276901
-68.51458886,118.1276901
-68.51458886,118.1276901
-68.51458886,118.1276901
-68.51458886,117.8909613
-68.27586207,117.6542324
-68.27586207,117.6542324
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.03713528,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.27586207,117.4175036
-68.03713528,117.1807747
-68.03713528,117.1807747
-68.03713528,117.1807747
-68.03713528,117.1807747
-68.03713528,116.9440459
-67.79840849,116.9440459
-68.03713528,116.9440459
-67.79840849,116.7073171
-67.79840849,116.7073171
-67.79840849,116.7073171
-67.79840849,116.4705882
-67.5596817,116.2338594
-67.5596817,116.2338594
-67.5596817,115.9971306
-67.5596817,115.9971306
-67.32095491,115.7604017
-67.32095491,115.7604017
-67.32095491,115.5236729
-67.32095491,115.286944
-67.32095491,115.286944
-67.08222812,115.286944
-67.08222812,115.0502152
-67.08222812,115.0502152
-67.08222812,114.8134864
-66.84350133,114.8134864
-66.84350133,114.5767575
-66.84350133,114.5767575
-66.84350133,114.5767575
-66.84350133,114.3400287
-66.60477454,114.1032999
-66.60477454,114.1032999
-66.36604775,114.1032999
-66.36604775,113.866571
-66.36604775,113.6298422
-66.36604775,113.3931133
-66.36604775,113.3931133
-66.12732095,113.3931133
-66.12732095,113.3931133
-66.12732095,113.1563845
-66.12732095,113.1563845
-66.12732095,112.9196557
-66.12732095,112.9196557
-66.12732095,112.6829268
-66.12732095,112.6829268
-66.12732095,112.6829268
-66.12732095,112.6829268
-65.88859416,112.6829268
-66.12732095,112.6829268
-65.88859416,112.6829268
-65.88859416,112.446198
-65.88859416,112.446198
-65.88859416,112.446198
-65.88859416,112.446198
-65.88859416,112.446198
-65.88859416,112.446198
-65.64986737,112.446198
-65.88859416,112.2094692
-65.64986737,112.446198
-65.64986737,112.2094692
-65.64986737,112.2094692
-65.41114058,111.9727403
-65.41114058,111.9727403
-65.41114058,111.9727403
-65.41114058,111.9727403
-65.17241379,111.9727403
-65.17241379,111.9727403
-65.17241379,111.7360115
-65.17241379,111.7360115
-65.17241379,111.7360115
-65.17241379,111.7360115
-65.17241379,111.4992826
-65.17241379,111.4992826
-65.17241379,111.4992826
-65.17241379,111.4992826
-65.17241379,111.2625538
-65.17241379,111.2625538
-65.17241379,111.2625538
-65.17241379,111.025825
-64.933687,111.025825
-65.17241379,110.7890961
-64.933687,110.7890961
-64.933687,110.5523673
-64.933687,110.5523673
-64.933687,110.5523673
-64.933687,110.5523673
-64.933687,110.5523673
-64.933687,110.5523673
-64.933687,110.3156385
-64.933687,110.3156385
-64.933687,110.3156385
-64.933687,110.0789096
-64.69496021,110.0789096
-64.69496021,110.0789096
-64.69496021,110.0789096
-64.69496021,109.8421808
-64.69496021,109.8421808
-64.69496021,109.8421808
-64.69496021,109.8421808
-64.69496021,109.8421808
-64.69496021,109.8421808
-64.69496021,109.8421808
-64.69496021,109.8421808
-64.933687,109.8421808
-64.69496021,109.8421808
-64.69496021,109.8421808
-64.69496021,109.8421808
-64.69496021,109.8421808
-64.69496021,109.8421808
